participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
sumedhaa,spatial-color,1,0,60.0,336.46,59.2,334.0,1.5
sumedhaa,spatial-color,1,1,61.5,331.7,60.2,329.0,2.0
sumedhaa,spatial-color,1,2,63.0,326.48,61.2,327.0,1.59
sumedhaa,spatial-color,1,3,64.5,320.91,62.2,324.0,1.42
sumedhaa,spatial-color,1,4,66.0,315.1,63.2,321.0,1.23
sumedhaa,spatial-color,1,5,67.5,309.16,64.2,318.0,1.02
sumedhaa,spatial-color,1,6,69.0,303.19,65.2,314.0,1.05
sumedhaa,spatial-color,1,7,70.5,297.29,67.2,310.0,0.09
sumedhaa,spatial-color,1,8,72.0,291.54,68.2,305.0,0.34
sumedhaa,spatial-color,1,9,73.5,286.02,69.2,300.0,0.59
sumedhaa,spatial-color,1,10,75.0,280.79,71.2,294.0,0.15
sumedhaa,spatial-color,1,11,76.5,275.91,72.2,290.0,0.21
sumedhaa,spatial-color,1,12,78.0,271.41,73.2,286.0,0.29
sumedhaa,spatial-color,1,13,79.5,267.32,75.2,281.0,0.25
sumedhaa,spatial-color,1,14,81.0,263.66,76.2,277.0,0.03
sumedhaa,spatial-color,1,15,82.5,260.42,77.2,273.0,0.26
sumedhaa,spatial-color,1,16,84.0,257.59,79.2,269.0,0.3
sumedhaa,spatial-color,1,17,85.5,255.15,82.2,263.0,0.81
sumedhaa,spatial-color,1,18,87.0,253.04,84.2,260.0,1.3
sumedhaa,spatial-color,1,19,88.5,251.22,86.2,256.0,1.04
sumedhaa,spatial-color,1,20,90.0,249.64,88.2,253.0,0.9
sumedhaa,spatial-color,1,21,91.5,248.21,90.2,250.0,0.4
sumedhaa,spatial-color,1,22,93.0,246.86,92.2,248.0,0.31
sumedhaa,spatial-color,1,23,94.5,245.52,95.2,244.0,0.62
sumedhaa,spatial-color,1,24,96.0,244.09,98.2,240.0,1.02
sumedhaa,spatial-color,1,25,97.5,242.49,101.2,236.0,0.59
sumedhaa,spatial-color,1,26,99.0,240.63,103.2,233.0,0.12
sumedhaa,spatial-color,1,27,100.5,238.42,105.2,228.0,0.11
sumedhaa,spatial-color,1,28,102.0,235.79,108.2,221.0,0.61
sumedhaa,spatial-color,1,29,103.5,232.64,109.2,213.0,0.47
sumedhaa,spatial-color,1,30,105.0,228.93,111.2,205.0,0.27
sumedhaa,spatial-color,1,31,106.5,224.58,113.2,200.0,0.68
sumedhaa,spatial-color,1,32,108.0,219.54,114.2,195.0,0.75
sumedhaa,spatial-color,1,33,109.5,213.79,115.2,191.0,1.01
sumedhaa,spatial-color,1,34,111.0,207.29,116.2,184.0,0.82
sumedhaa,spatial-color,1,35,112.5,200.02,118.2,180.0,2.16
sumedhaa,spatial-color,1,36,114.0,192.01,118.2,175.0,1.37
sumedhaa,spatial-color,1,37,115.5,183.26,119.2,171.0,1.77
sumedhaa,spatial-color,1,38,117.0,173.8,120.2,168.0,2.32
sumedhaa,spatial-color,1,39,118.5,163.68,121.2,163.0,2.58
sumedhaa,spatial-color,1,40,120.0,152.97,121.2,160.0,2.16
sumedhaa,spatial-color,1,41,121.5,141.74,121.2,156.0,1.61
sumedhaa,spatial-color,1,42,123.0,130.09,122.2,153.0,2.18
sumedhaa,spatial-color,1,43,124.5,118.1,122.2,149.0,1.65
sumedhaa,spatial-color,1,44,126.0,105.89,122.2,146.0,1.26
sumedhaa,spatial-color,1,45,127.5,93.59,122.2,142.0,0.73
sumedhaa,spatial-color,1,46,129.0,81.32,122.2,136.0,0.04
sumedhaa,spatial-color,1,47,130.5,69.22,123.2,129.0,0.06
sumedhaa,spatial-color,1,48,132.0,57.42,124.2,124.0,0.44
sumedhaa,spatial-color,1,49,133.5,46.06,124.2,118.0,0.31
sumedhaa,spatial-color,1,50,135.0,42.0,125.2,113.0,0.07
sumedhaa,spatial-color,1,51,136.5,42.0,126.2,108.0,0.46
sumedhaa,spatial-color,1,52,138.0,42.0,127.2,104.0,0.96
sumedhaa,spatial-color,1,53,139.5,42.0,127.2,100.0,0.48
sumedhaa,spatial-color,1,54,141.0,42.0,128.2,96.0,0.99
sumedhaa,spatial-color,1,55,142.5,42.0,128.2,92.0,0.5
sumedhaa,spatial-color,1,56,144.0,42.0,129.2,87.0,0.89
sumedhaa,spatial-color,1,57,145.5,42.0,129.2,83.0,0.4
sumedhaa,spatial-color,1,58,147.0,42.0,129.2,79.0,0.09
sumedhaa,spatial-color,1,59,148.5,42.0,130.2,75.0,0.41
sumedhaa,spatial-color,1,60,150.0,42.0,131.2,73.0,1.16
sumedhaa,spatial-color,1,61,151.5,42.0,131.2,68.0,0.54
sumedhaa,spatial-color,1,62,153.0,42.0,131.2,62.0,0.22
sumedhaa,spatial-color,1,63,154.5,42.0,131.2,56.0,0.98
sumedhaa,spatial-color,1,64,156.0,42.0,132.2,51.0,0.64
sumedhaa,spatial-color,1,65,157.5,42.0,133.2,48.0,0.04
sumedhaa,spatial-color,1,66,159.0,42.0,134.2,45.0,0.29
sumedhaa,spatial-color,1,67,160.5,42.0,135.2,43.0,0.53
sumedhaa,spatial-color,1,68,162.0,47.02,137.2,42.0,0.0
sumedhaa,spatial-color,1,69,163.5,60.3,140.2,41.0,1.0
sumedhaa,spatial-color,1,70,165.0,74.47,143.2,41.0,1.0
sumedhaa,spatial-color,1,71,166.5,89.39,147.2,40.0,2.0
sumedhaa,spatial-color,1,72,168.0,104.91,151.2,40.0,2.0
sumedhaa,spatial-color,1,73,169.5,120.89,155.2,40.0,2.0
sumedhaa,spatial-color,1,74,171.0,137.17,159.2,40.0,2.0
sumedhaa,spatial-color,1,75,172.5,153.58,160.2,43.0,0.57
sumedhaa,spatial-color,1,76,174.0,169.97,161.2,46.0,0.48
sumedhaa,spatial-color,1,77,175.5,186.19,162.2,49.0,0.02
sumedhaa,spatial-color,1,78,177.0,202.09,163.2,54.0,0.41
sumedhaa,spatial-color,1,79,178.5,217.52,164.2,57.0,1.07
sumedhaa,spatial-color,1,80,180.0,232.35,165.2,61.0,1.62
sumedhaa,spatial-color,1,81,181.5,246.45,165.2,66.0,1.09
sumedhaa,spatial-color,1,82,183.0,259.72,166.2,71.0,1.56
sumedhaa,spatial-color,1,83,184.5,272.05,166.2,76.0,1.04
sumedhaa,spatial-color,1,84,186.0,283.37,166.2,80.0,0.64
sumedhaa,spatial-color,1,85,187.5,293.6,168.2,85.0,2.13
sumedhaa,spatial-color,1,86,189.0,302.7,168.2,90.0,1.63
sumedhaa,spatial-color,1,87,190.5,310.62,168.2,97.0,0.96
sumedhaa,spatial-color,1,88,192.0,317.35,168.2,102.0,0.48
sumedhaa,spatial-color,1,89,193.5,322.89,169.2,106.0,1.09
sumedhaa,spatial-color,1,90,195.0,327.24,169.2,112.0,0.53
sumedhaa,spatial-color,1,91,196.5,330.45,169.2,117.0,0.07
sumedhaa,spatial-color,1,92,198.0,332.55,169.2,121.0,0.31
sumedhaa,spatial-color,1,93,199.5,333.6,170.2,126.0,0.23
sumedhaa,spatial-color,1,94,201.0,333.68,171.2,130.0,0.86
sumedhaa,spatial-color,1,95,202.5,332.85,171.2,135.0,0.4
sumedhaa,spatial-color,1,96,204.0,331.22,172.2,138.0,1.12
sumedhaa,spatial-color,1,97,205.5,328.88,172.2,144.0,0.57
sumedhaa,spatial-color,1,98,207.0,325.93,172.2,148.0,0.21
sumedhaa,spatial-color,1,99,208.5,322.47,173.2,154.0,0.66
sumedhaa,spatial-color,1,100,210.0,318.62,173.2,161.0,0.02
sumedhaa,spatial-color,1,101,211.5,314.48,174.2,167.0,0.47
sumedhaa,spatial-color,1,102,213.0,310.15,174.2,172.0,0.01
sumedhaa,spatial-color,1,103,214.5,305.73,174.2,176.0,0.36
sumedhaa,spatial-color,1,104,216.0,301.33,175.2,180.0,0.27
sumedhaa,spatial-color,1,105,217.5,297.02,175.2,184.0,0.1
sumedhaa,spatial-color,1,106,219.0,292.88,176.2,189.0,0.43
sumedhaa,spatial-color,1,107,220.5,288.98,176.2,193.0,0.06
sumedhaa,spatial-color,1,108,222.0,285.37,177.2,196.0,0.77
sumedhaa,spatial-color,1,109,223.5,282.1,177.2,199.0,0.49
sumedhaa,spatial-color,1,110,225.0,279.19,177.2,203.0,0.11
sumedhaa,spatial-color,1,111,226.5,276.66,177.2,208.0,0.37
sumedhaa,spatial-color,1,112,228.0,274.52,178.2,213.0,0.14
sumedhaa,spatial-color,1,113,229.5,272.75,179.2,218.0,0.65
sumedhaa,spatial-color,1,114,231.0,271.33,179.2,221.0,0.35
sumedhaa,spatial-color,1,115,232.5,270.23,180.2,225.0,0.94
sumedhaa,spatial-color,1,116,234.0,269.38,180.2,229.0,0.54
sumedhaa,spatial-color,1,117,235.5,268.75,181.2,234.0,1.02
sumedhaa,spatial-color,1,118,237.0,268.25,181.2,238.0,0.6
sumedhaa,spatial-color,1,119,238.5,267.81,182.2,242.0,1.17
sumedhaa,spatial-color,1,120,240.0,267.35,182.2,246.0,0.74
sumedhaa,spatial-color,1,121,241.5,266.78,183.2,252.0,1.07
sumedhaa,spatial-color,1,122,243.0,266.01,184.2,261.0,1.04
sumedhaa,spatial-color,1,123,244.5,264.96,186.2,270.0,1.94
sumedhaa,spatial-color,1,124,246.0,263.52,187.2,276.0,2.16
sumedhaa,spatial-color,1,125,247.5,261.62,189.2,285.0,2.93
sumedhaa,spatial-color,1,126,249.0,259.18,189.2,290.0,2.2
