participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
vanessa,spatial-color,2,0,60.0,336.46,59.89,337.72,1.26
vanessa,spatial-color,2,1,61.5,331.7,61.89,332.72,0.68
vanessa,spatial-color,2,2,63.0,326.48,62.89,326.72,0.04
vanessa,spatial-color,2,3,64.5,320.91,62.89,321.72,1.35
vanessa,spatial-color,2,4,66.0,315.1,62.89,317.72,2.36
vanessa,spatial-color,2,5,67.5,309.16,64.89,312.72,1.66
vanessa,spatial-color,2,6,69.0,303.19,68.89,306.72,0.75
vanessa,spatial-color,2,7,70.5,297.29,69.89,301.72,0.5
vanessa,spatial-color,2,8,72.0,291.54,71.89,295.72,0.95
vanessa,spatial-color,2,9,73.5,286.02,71.89,290.72,0.32
vanessa,spatial-color,2,10,75.0,280.79,73.89,286.72,0.56
vanessa,spatial-color,2,11,76.5,275.91,73.89,281.72,0.81
vanessa,spatial-color,2,12,78.0,271.41,75.89,274.72,0.95
vanessa,spatial-color,2,13,79.5,267.32,76.89,268.72,1.97
vanessa,spatial-color,2,14,81.0,263.66,80.89,262.72,0.5
vanessa,spatial-color,2,15,82.5,260.42,82.89,256.72,1.4
vanessa,spatial-color,2,16,84.0,257.59,85.89,250.72,2.33
vanessa,spatial-color,2,17,85.5,255.15,88.89,243.72,5.09
vanessa,spatial-color,2,18,87.0,253.04,91.89,238.72,6.67
vanessa,spatial-color,2,19,88.5,251.22,96.89,234.72,4.97
vanessa,spatial-color,2,20,90.0,249.64,99.89,229.72,4.44
vanessa,spatial-color,2,21,91.5,248.21,102.89,224.72,3.37
vanessa,spatial-color,2,22,93.0,246.86,105.89,220.72,1.69
vanessa,spatial-color,2,23,94.5,245.52,108.89,214.72,0.36
vanessa,spatial-color,2,24,96.0,244.09,111.89,208.72,1.19
vanessa,spatial-color,2,25,97.5,242.49,115.89,201.72,3.66
vanessa,spatial-color,2,26,99.0,240.63,116.89,195.72,3.52
vanessa,spatial-color,2,27,100.5,238.42,116.89,189.72,2.46
vanessa,spatial-color,2,28,102.0,235.79,116.89,183.72,1.45
vanessa,spatial-color,2,29,103.5,232.64,116.89,177.72,0.5
vanessa,spatial-color,2,30,105.0,228.93,116.89,172.72,0.27
vanessa,spatial-color,2,31,106.5,224.58,116.89,166.72,1.15
vanessa,spatial-color,2,32,108.0,219.54,116.89,160.72,2.01
vanessa,spatial-color,2,33,109.5,213.79,118.89,154.72,0.86
vanessa,spatial-color,2,34,111.0,207.29,120.89,150.72,0.58
vanessa,spatial-color,2,35,112.5,200.02,122.89,144.72,1.77
vanessa,spatial-color,2,36,114.0,192.01,122.89,139.72,1.12
vanessa,spatial-color,2,37,115.5,183.26,122.89,133.72,0.35
vanessa,spatial-color,2,38,117.0,173.8,122.89,128.72,0.28
vanessa,spatial-color,2,39,118.5,163.68,122.89,122.72,1.02
vanessa,spatial-color,2,40,120.0,152.97,123.89,117.72,0.65
vanessa,spatial-color,2,41,121.5,141.74,124.89,110.72,0.51
vanessa,spatial-color,2,42,123.0,130.09,125.89,102.72,0.49
vanessa,spatial-color,2,43,124.5,118.1,126.89,97.72,0.11
vanessa,spatial-color,2,44,126.0,105.89,127.89,90.72,0.04
vanessa,spatial-color,2,45,127.5,93.59,128.89,85.72,0.42
vanessa,spatial-color,2,46,129.0,81.32,128.89,80.72,0.18
vanessa,spatial-color,2,47,130.5,69.22,128.89,74.72,0.92
vanessa,spatial-color,2,48,132.0,57.42,128.89,69.72,1.54
vanessa,spatial-color,2,49,133.5,46.06,128.89,63.72,2.29
vanessa,spatial-color,2,50,135.0,42.0,130.89,57.72,1.06
vanessa,spatial-color,2,51,136.5,42.0,131.89,52.72,0.73
vanessa,spatial-color,2,52,138.0,42.0,132.89,48.72,0.26
vanessa,spatial-color,2,53,139.5,42.0,133.89,42.72,0.79
vanessa,spatial-color,2,54,141.0,42.0,133.89,37.72,4.42
vanessa,spatial-color,2,55,142.5,42.0,139.89,37.72,4.28
vanessa,spatial-color,2,56,144.0,42.0,145.89,37.72,4.28
vanessa,spatial-color,2,57,145.5,42.0,150.89,37.72,4.28
vanessa,spatial-color,2,58,147.0,42.0,155.89,38.72,3.28
vanessa,spatial-color,2,59,148.5,42.0,159.89,40.72,1.28
vanessa,spatial-color,2,60,150.0,42.0,162.89,46.72,0.94
vanessa,spatial-color,2,61,151.5,42.0,159.89,51.72,2.63
vanessa,spatial-color,2,62,153.0,42.0,159.89,56.72,3.19
vanessa,spatial-color,2,63,154.5,42.0,159.89,62.72,3.85
vanessa,spatial-color,2,64,156.0,42.0,162.89,69.72,1.6
vanessa,spatial-color,2,65,157.5,42.0,165.89,76.72,0.66
vanessa,spatial-color,2,66,159.0,42.0,165.89,82.72,0.06
vanessa,spatial-color,2,67,160.5,42.0,166.89,87.72,0.55
vanessa,spatial-color,2,68,162.0,47.02,168.89,92.72,2.06
vanessa,spatial-color,2,69,163.5,60.3,169.89,100.72,2.28
vanessa,spatial-color,2,70,165.0,74.47,170.89,109.72,2.43
vanessa,spatial-color,2,71,166.5,89.39,170.89,114.72,1.96
vanessa,spatial-color,2,72,168.0,104.91,170.89,120.72,1.4
vanessa,spatial-color,2,73,169.5,120.89,170.89,125.72,0.94
vanessa,spatial-color,2,74,171.0,137.17,170.89,131.72,0.39
vanessa,spatial-color,2,75,172.5,153.58,170.89,136.72,0.07
vanessa,spatial-color,2,76,174.0,169.97,171.89,140.72,0.56
vanessa,spatial-color,2,77,175.5,186.19,172.89,146.72,1.01
vanessa,spatial-color,2,78,177.0,202.09,174.89,156.72,2.09
vanessa,spatial-color,2,79,178.5,217.52,175.89,163.72,2.45
vanessa,spatial-color,2,80,180.0,232.35,175.89,169.72,1.9
vanessa,spatial-color,2,81,181.5,246.45,175.89,174.72,1.44
vanessa,spatial-color,2,82,183.0,259.72,175.89,180.72,0.89
vanessa,spatial-color,2,83,184.5,272.05,175.89,186.72,0.34
vanessa,spatial-color,2,84,186.0,283.37,175.89,195.72,0.51
vanessa,spatial-color,2,85,187.5,293.6,175.89,200.72,0.98
vanessa,spatial-color,2,86,189.0,302.7,175.89,206.72,1.55
vanessa,spatial-color,2,87,190.5,310.62,175.89,212.72,2.13
vanessa,spatial-color,2,88,192.0,317.35,175.89,218.72,2.72
vanessa,spatial-color,2,89,193.5,322.89,176.89,224.72,2.33
vanessa,spatial-color,2,90,195.0,327.24,176.89,229.72,2.83
vanessa,spatial-color,2,91,196.5,330.45,177.89,236.72,2.56
vanessa,spatial-color,2,92,198.0,332.55,179.89,244.72,1.42
vanessa,spatial-color,2,93,199.5,333.6,181.89,252.72,0.32
vanessa,spatial-color,2,94,201.0,333.68,181.89,260.72,1.22
vanessa,spatial-color,2,95,202.5,332.85,181.89,265.72,1.83
vanessa,spatial-color,2,96,204.0,331.22,181.89,271.72,2.55
vanessa,spatial-color,2,97,205.5,328.88,185.89,280.72,0.24
vanessa,spatial-color,2,98,207.0,325.93,185.89,285.72,0.45
vanessa,spatial-color,2,99,208.5,322.47,188.89,292.72,1.5
vanessa,spatial-color,2,100,210.0,318.62,188.89,298.72,0.54
vanessa,spatial-color,2,101,211.5,314.48,188.89,304.72,0.49
vanessa,spatial-color,2,102,213.0,310.15,189.89,309.72,0.43
vanessa,spatial-color,2,103,214.5,305.73,189.89,314.72,1.49
vanessa,spatial-color,2,104,216.0,301.33,192.89,320.72,0.02
vanessa,spatial-color,2,105,217.5,297.02,194.89,325.72,0.39
vanessa,spatial-color,2,106,219.0,292.88,196.89,329.72,0.66
vanessa,spatial-color,2,107,220.5,288.98,201.89,329.72,2.57
vanessa,spatial-color,2,108,222.0,285.37,203.89,326.72,2.41
vanessa,spatial-color,2,109,223.5,282.1,205.89,321.72,2.69
vanessa,spatial-color,2,110,225.0,279.19,208.89,315.72,2.03
vanessa,spatial-color,2,111,226.5,276.66,211.89,311.72,0.54
vanessa,spatial-color,2,112,228.0,274.52,216.89,306.72,2.58
vanessa,spatial-color,2,113,229.5,272.75,218.89,300.72,2.53
vanessa,spatial-color,2,114,231.0,271.33,219.89,294.72,1.46
vanessa,spatial-color,2,115,232.5,270.23,220.89,289.72,0.63
vanessa,spatial-color,2,116,234.0,269.38,222.89,282.72,0.3
vanessa,spatial-color,2,117,235.5,268.75,224.89,274.72,2.43
vanessa,spatial-color,2,118,237.0,268.25,225.89,269.72,4.72
vanessa,spatial-color,2,119,238.5,267.81,231.89,263.72,6.04
vanessa,spatial-color,2,120,240.0,267.35,234.89,260.72,7.82
vanessa,spatial-color,2,121,241.5,266.78,240.89,257.72,7.61
vanessa,spatial-color,2,122,243.0,266.01,245.89,254.72,4.75
vanessa,spatial-color,2,123,244.5,264.96,249.89,252.72,1.82
vanessa,spatial-color,2,124,246.0,263.52,250.89,246.72,2.81
vanessa,spatial-color,2,125,247.5,261.62,253.89,243.72,0.74
vanessa,spatial-color,2,126,249.0,259.18,253.89,237.72,2.22
vanessa,spatial-color,2,127,250.5,256.1,256.89,230.72,0.81
vanessa,spatial-color,2,128,252.0,252.34,258.89,221.72,0.57
vanessa,spatial-color,2,129,253.5,247.83,258.89,212.72,2.11
vanessa,spatial-color,2,130,255.0,242.52,259.89,203.72,2.53
vanessa,spatial-color,2,131,256.5,236.39,260.89,194.72,2.84
vanessa,spatial-color,2,132,258.0,229.4,263.89,179.72,1.9
vanessa,spatial-color,2,133,259.5,221.57,264.89,171.72,1.93
vanessa,spatial-color,2,134,261.0,212.88,265.89,163.72,1.92
vanessa,spatial-color,2,135,262.5,203.38,268.89,157.72,0.33
vanessa,spatial-color,2,136,264.0,193.09,268.89,151.72,0.37
vanessa,spatial-color,2,137,265.5,182.08,268.89,146.72,0.95
vanessa,spatial-color,2,138,267.0,170.41,269.89,137.72,0.99
vanessa,spatial-color,2,139,268.5,158.17,269.89,128.72,2.01
vanessa,spatial-color,2,140,270.0,145.45,270.89,123.72,1.57
vanessa,spatial-color,2,141,271.5,132.35,272.89,114.72,0.59
vanessa,spatial-color,2,142,273.0,119.01,273.89,106.72,0.48
vanessa,spatial-color,2,143,274.5,105.55,274.89,100.72,0.15
vanessa,spatial-color,2,144,276.0,92.09,274.89,94.72,0.81
vanessa,spatial-color,2,145,277.5,78.79,274.89,88.72,1.48
vanessa,spatial-color,2,146,279.0,65.78,276.89,81.72,0.28
vanessa,spatial-color,2,147,280.5,53.21,277.89,75.72,0.03
vanessa,spatial-color,2,148,282.0,42.0,277.89,70.72,0.54
vanessa,spatial-color,2,149,283.5,42.0,277.89,62.72,1.47
vanessa,spatial-color,2,150,285.0,42.0,278.89,57.72,1.07
vanessa,spatial-color,2,151,286.5,42.0,279.89,50.72,0.94
vanessa,spatial-color,2,152,288.0,42.0,280.89,46.72,0.48
vanessa,spatial-color,2,153,289.5,42.0,281.89,39.72,2.28
vanessa,spatial-color,2,154,291.0,42.0,285.89,38.72,3.28
vanessa,spatial-color,2,155,292.5,42.0,290.89,39.72,2.28
vanessa,spatial-color,2,156,294.0,42.0,296.89,40.72,1.28
vanessa,spatial-color,2,157,295.5,42.0,303.89,42.72,0.72
vanessa,spatial-color,2,158,297.0,42.0,309.89,43.72,0.34
vanessa,spatial-color,2,159,298.5,42.0,308.89,48.72,1.81
vanessa,spatial-color,2,160,300.0,42.0,308.89,53.72,2.37
vanessa,spatial-color,2,161,301.5,42.0,308.89,58.72,2.93
vanessa,spatial-color,2,162,303.0,42.0,309.89,63.72,2.47
vanessa,spatial-color,2,163,304.5,42.0,310.89,69.72,2.11
vanessa,spatial-color,2,164,306.0,42.0,312.89,74.72,0.64
vanessa,spatial-color,2,165,307.5,42.0,313.89,80.72,0.25
vanessa,spatial-color,2,166,309.0,42.0,313.89,84.72,0.66
vanessa,spatial-color,2,167,310.5,46.82,314.89,89.72,0.16
vanessa,spatial-color,2,168,312.0,60.21,314.89,95.72,0.75
vanessa,spatial-color,2,169,313.5,74.37,315.89,104.72,0.63
vanessa,spatial-color,2,170,315.0,89.18,315.89,111.72,1.3
vanessa,spatial-color,2,171,316.5,104.47,315.89,116.72,1.78
vanessa,spatial-color,2,172,318.0,120.09,315.89,122.72,2.35
vanessa,spatial-color,2,173,319.5,135.88,316.89,126.72,1.73
vanessa,spatial-color,2,174,321.0,151.69,316.89,132.72,2.3
vanessa,spatial-color,2,175,322.5,167.38,319.89,138.72,0.12
vanessa,spatial-color,2,176,324.0,182.79,319.89,145.72,0.54
vanessa,spatial-color,2,177,325.5,197.78,319.89,151.72,1.11
vanessa,spatial-color,2,178,327.0,212.23,319.89,156.72,1.58
vanessa,spatial-color,2,179,328.5,226.01,319.89,162.72,2.16
vanessa,spatial-color,2,180,330.0,239.02,319.89,167.72,2.63
vanessa,spatial-color,2,181,331.5,251.17,322.89,173.72,0.23
vanessa,spatial-color,2,182,333.0,262.37,322.89,180.72,0.91
vanessa,spatial-color,2,183,334.5,272.57,322.89,186.72,1.5
vanessa,spatial-color,2,184,336.0,281.7,322.89,193.72,2.19
vanessa,spatial-color,2,185,337.5,289.76,322.89,198.72,2.69
vanessa,spatial-color,2,186,339.0,296.7,322.89,205.72,3.42
vanessa,spatial-color,2,187,340.5,302.55,322.89,215.72,4.46
vanessa,spatial-color,2,188,342.0,307.31,323.89,223.72,4.34
vanessa,spatial-color,2,189,343.5,311.02,323.89,231.72,5.23
vanessa,spatial-color,2,190,345.0,313.71,324.89,237.72,4.93
vanessa,spatial-color,2,191,346.5,315.46,325.89,243.72,4.66
vanessa,spatial-color,2,192,348.0,316.32,327.89,249.72,3.41
vanessa,spatial-color,2,193,349.5,316.38,328.89,255.72,3.19
vanessa,spatial-color,2,194,351.0,315.72,330.89,261.72,2.01
vanessa,spatial-color,2,195,352.5,314.45,332.89,267.72,0.89
vanessa,spatial-color,2,196,354.0,312.65,332.89,274.72,1.94
vanessa,spatial-color,2,197,355.5,310.43,332.89,282.72,3.24
vanessa,spatial-color,2,198,357.0,307.89,333.89,289.72,3.54
vanessa,spatial-color,2,199,358.5,305.13,334.89,296.72,4.02
vanessa,spatial-color,2,200,360.0,302.25,338.89,303.72,1.89
vanessa,spatial-color,2,201,361.5,299.34,341.89,309.72,1.01
vanessa,spatial-color,2,202,363.0,296.49,345.89,313.72,0.67
vanessa,spatial-color,2,203,364.5,293.77,350.89,314.72,0.84
vanessa,spatial-color,2,204,366.0,291.25,353.89,312.72,0.04
vanessa,spatial-color,2,205,367.5,288.99,358.89,309.72,2.56
vanessa,spatial-color,2,206,369.0,287.03,360.89,305.72,2.39
vanessa,spatial-color,2,207,370.5,285.41,362.89,299.72,1.41
vanessa,spatial-color,2,208,372.0,284.14,365.89,294.72,1.68
vanessa,spatial-color,2,209,373.5,283.24,368.89,291.72,2.67
vanessa,spatial-color,2,210,375.0,282.69,370.89,286.72,1.18
vanessa,spatial-color,2,211,376.5,282.47,373.89,280.72,2.23
vanessa,spatial-color,2,212,378.0,282.55,378.89,280.72,1.98
vanessa,spatial-color,2,213,379.5,282.88,383.89,280.72,3.62
vanessa,spatial-color,2,214,381.0,283.41,387.89,283.72,2.44
vanessa,spatial-color,2,215,382.5,284.07,392.89,286.72,1.26
vanessa,spatial-color,2,216,384.0,284.78,396.89,286.72,3.77
vanessa,spatial-color,2,217,385.5,285.46,396.89,276.72,1.39
vanessa,spatial-color,2,218,387.0,286.02,397.89,269.72,2.79
vanessa,spatial-color,2,219,388.5,286.37,400.89,260.72,2.15
vanessa,spatial-color,2,220,390.0,286.41,402.89,251.72,2.07
vanessa,spatial-color,2,221,391.5,286.06,402.89,246.72,2.98
vanessa,spatial-color,2,222,393.0,285.21,405.89,241.72,0.89
vanessa,spatial-color,2,223,394.5,283.79,406.89,235.72,0.88
vanessa,spatial-color,2,224,396.0,281.7,408.89,229.72,0.2
vanessa,spatial-color,2,225,397.5,278.87,408.89,221.72,0.95
