participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
victoria,numerical,3,0,60.0,336.46,60.0,336.2,0.08
victoria,numerical,3,1,61.5,331.7,61.0,330.2,0.9
victoria,numerical,3,2,63.0,326.48,61.0,326.2,2.0
victoria,numerical,3,3,64.5,320.91,61.0,321.2,3.31
victoria,numerical,3,4,66.0,315.1,62.0,317.2,3.35
victoria,numerical,3,5,67.5,309.16,63.0,313.2,3.37
victoria,numerical,3,6,69.0,303.19,65.0,309.2,2.42
victoria,numerical,3,7,70.5,297.29,67.0,305.2,1.45
victoria,numerical,3,8,72.0,291.54,69.0,299.2,0.98
victoria,numerical,3,9,73.5,286.02,72.0,292.2,0.17
victoria,numerical,3,10,75.0,280.79,73.0,285.2,0.71
victoria,numerical,3,11,76.5,275.91,73.0,280.2,2.08
victoria,numerical,3,12,78.0,271.41,75.0,274.2,1.96
victoria,numerical,3,13,79.5,267.32,76.0,268.2,2.98
victoria,numerical,3,14,81.0,263.66,78.0,264.2,2.57
victoria,numerical,3,15,82.5,260.42,80.0,259.2,2.78
victoria,numerical,3,16,84.0,257.59,82.0,254.2,3.48
victoria,numerical,3,17,85.5,255.15,85.0,253.2,1.54
victoria,numerical,3,18,87.0,253.04,88.0,250.2,1.07
victoria,numerical,3,19,88.5,251.22,90.0,248.2,1.04
victoria,numerical,3,20,90.0,249.64,92.0,245.2,1.91
victoria,numerical,3,21,91.5,248.21,96.0,242.2,1.29
victoria,numerical,3,22,93.0,246.86,99.0,238.2,1.37
victoria,numerical,3,23,94.5,245.52,102.0,233.2,1.11
victoria,numerical,3,24,96.0,244.09,104.0,228.2,1.18
victoria,numerical,3,25,97.5,242.49,105.0,222.2,2.12
victoria,numerical,3,26,99.0,240.63,108.0,215.2,1.1
victoria,numerical,3,27,100.5,238.42,109.0,211.2,1.07
victoria,numerical,3,28,102.0,235.79,110.0,200.2,2.41
victoria,numerical,3,29,103.5,232.64,110.0,196.2,3.16
victoria,numerical,3,30,105.0,228.93,112.0,191.2,2.11
victoria,numerical,3,31,106.5,224.58,114.0,184.2,1.32
victoria,numerical,3,32,108.0,219.54,114.0,180.2,1.96
victoria,numerical,3,33,109.5,213.79,116.0,171.2,1.37
victoria,numerical,3,34,111.0,207.29,118.0,161.2,0.84
victoria,numerical,3,35,112.5,200.02,119.0,152.2,1.09
victoria,numerical,3,36,114.0,192.01,120.0,140.2,1.68
victoria,numerical,3,37,115.5,183.26,122.0,130.2,0.98
