participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
victoria,no-feedback,1,0,60.0,336.46,60.0,336.2,0.08
victoria,no-feedback,1,1,61.5,331.7,60.0,333.2,0.98
victoria,no-feedback,1,2,63.0,326.48,60.0,329.2,2.13
victoria,no-feedback,1,3,64.5,320.91,62.0,324.2,1.56
victoria,no-feedback,1,4,66.0,315.1,63.0,318.2,2.13
victoria,no-feedback,1,5,67.5,309.16,64.0,314.2,2.16
victoria,no-feedback,1,6,69.0,303.19,65.0,309.2,2.42
victoria,no-feedback,1,7,70.5,297.29,66.0,305.2,2.42
victoria,no-feedback,1,8,72.0,291.54,67.0,300.2,2.68
victoria,no-feedback,1,9,73.5,286.02,69.0,294.2,2.23
victoria,no-feedback,1,10,75.0,280.79,71.0,288.2,1.84
victoria,no-feedback,1,11,76.5,275.91,73.0,282.2,1.53
victoria,no-feedback,1,12,78.0,271.41,75.0,274.2,1.96
victoria,no-feedback,1,13,79.5,267.32,77.0,269.2,1.7
victoria,no-feedback,1,14,81.0,263.66,79.0,262.2,2.43
victoria,no-feedback,1,15,82.5,260.42,82.0,256.2,2.43
victoria,no-feedback,1,16,84.0,257.59,85.0,253.2,1.54
victoria,no-feedback,1,17,85.5,255.15,88.0,250.2,1.07
victoria,no-feedback,1,18,87.0,253.04,92.0,246.2,1.16
victoria,no-feedback,1,19,88.5,251.22,96.0,243.2,0.61
victoria,no-feedback,1,20,90.0,249.64,98.0,239.2,1.63
victoria,no-feedback,1,21,91.5,248.21,100.0,234.2,2.49
victoria,no-feedback,1,22,93.0,246.86,103.0,226.2,2.78
victoria,no-feedback,1,23,94.5,245.52,104.0,219.2,3.93
victoria,no-feedback,1,24,96.0,244.09,107.0,213.2,2.57
victoria,no-feedback,1,25,97.5,242.49,108.0,208.2,2.72
victoria,no-feedback,1,26,99.0,240.63,111.0,203.2,0.83
victoria,no-feedback,1,27,100.5,238.42,112.0,198.2,0.83
victoria,no-feedback,1,28,102.0,235.79,115.0,190.2,0.68
victoria,no-feedback,1,29,103.5,232.64,115.0,183.2,0.5
victoria,no-feedback,1,30,105.0,228.93,117.0,171.2,0.38
victoria,no-feedback,1,31,106.5,224.58,117.0,165.2,1.26
victoria,no-feedback,1,32,108.0,219.54,118.0,160.2,0.98
victoria,no-feedback,1,33,109.5,213.79,119.0,156.2,0.54
victoria,no-feedback,1,34,111.0,207.29,121.0,149.2,0.49
victoria,no-feedback,1,35,112.5,200.02,123.0,142.2,1.55
victoria,no-feedback,1,36,114.0,192.01,124.0,131.2,1.13
victoria,no-feedback,1,37,115.5,183.26,126.0,124.2,2.25
victoria,no-feedback,1,38,117.0,173.8,126.0,119.2,1.63
victoria,no-feedback,1,39,118.5,163.68,126.0,113.2,0.89
victoria,no-feedback,1,40,120.0,152.97,126.0,108.2,0.28
victoria,no-feedback,1,41,121.5,141.74,126.0,102.2,0.45
victoria,no-feedback,1,42,123.0,130.09,126.0,92.2,1.66
victoria,no-feedback,1,43,124.5,118.1,127.0,85.2,1.51
victoria,no-feedback,1,44,126.0,105.89,129.0,75.2,0.75
victoria,no-feedback,1,45,127.5,93.59,132.0,67.2,1.23
victoria,no-feedback,1,46,129.0,81.32,133.0,59.2,1.22
victoria,no-feedback,1,47,130.5,69.22,134.0,54.2,1.56
victoria,no-feedback,1,48,132.0,57.42,135.0,48.2,1.77
victoria,no-feedback,1,49,133.5,46.06,135.0,45.2,1.11
victoria,no-feedback,1,50,135.0,42.0,136.0,40.2,1.8
victoria,no-feedback,1,51,136.5,42.0,137.0,38.2,3.8
victoria,no-feedback,1,52,138.0,42.0,144.0,38.2,3.8
victoria,no-feedback,1,53,139.5,42.0,149.0,38.2,3.8
victoria,no-feedback,1,54,141.0,42.0,153.0,38.2,3.8
victoria,no-feedback,1,55,142.5,42.0,157.0,38.2,3.8
victoria,no-feedback,1,56,144.0,42.0,159.0,43.2,1.2
victoria,no-feedback,1,57,145.5,42.0,161.0,49.2,1.24
victoria,no-feedback,1,58,147.0,42.0,162.0,53.2,0.69
victoria,no-feedback,1,59,148.5,42.0,165.0,59.2,1.61
victoria,no-feedback,1,60,150.0,42.0,165.0,65.2,0.98
victoria,no-feedback,1,61,151.5,42.0,166.0,72.2,1.23
victoria,no-feedback,1,62,153.0,42.0,170.0,87.2,3.7
victoria,no-feedback,1,63,154.5,42.0,172.0,93.2,5.11
victoria,no-feedback,1,64,156.0,42.0,173.0,102.2,5.24
victoria,no-feedback,1,65,157.5,42.0,173.0,110.2,4.48
victoria,no-feedback,1,66,159.0,42.0,173.0,118.2,3.74
victoria,no-feedback,1,67,160.5,42.0,173.0,125.2,3.09
victoria,no-feedback,1,68,162.0,47.02,173.0,132.2,2.45
