participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
yiran,no-feedback,1,0,60.0,336.46,64.4,337.0,4.36
yiran,no-feedback,1,1,61.5,331.7,64.4,332.0,2.87
yiran,no-feedback,1,2,63.0,326.48,66.4,321.0,1.86
yiran,no-feedback,1,3,64.5,320.91,67.4,315.0,1.33
yiran,no-feedback,1,4,66.0,315.1,68.4,310.0,1.08
yiran,no-feedback,1,5,67.5,309.16,68.4,305.0,0.14
yiran,no-feedback,1,6,69.0,303.19,69.4,302.0,0.09
yiran,no-feedback,1,7,70.5,297.29,70.4,299.0,0.32
yiran,no-feedback,1,8,72.0,291.54,70.4,296.0,0.42
yiran,no-feedback,1,9,73.5,286.02,71.4,290.0,0.98
yiran,no-feedback,1,10,75.0,280.79,73.4,284.0,0.65
yiran,no-feedback,1,11,76.5,275.91,76.4,278.0,0.52
yiran,no-feedback,1,12,78.0,271.41,78.4,272.0,0.57
yiran,no-feedback,1,13,79.5,267.32,79.4,269.0,0.48
yiran,no-feedback,1,14,81.0,263.66,80.4,261.0,1.66
yiran,no-feedback,1,15,82.5,260.42,83.4,255.0,1.87
yiran,no-feedback,1,16,84.0,257.59,85.4,253.0,1.33
yiran,no-feedback,1,17,85.5,255.15,86.4,250.0,2.4
yiran,no-feedback,1,18,87.0,253.04,87.4,249.0,2.33
yiran,no-feedback,1,19,88.5,251.22,88.4,248.0,2.29
yiran,no-feedback,1,20,90.0,249.64,90.4,248.0,0.91
yiran,no-feedback,1,21,91.5,248.21,94.4,246.0,0.29
yiran,no-feedback,1,22,93.0,246.86,97.4,243.0,0.27
yiran,no-feedback,1,23,94.5,245.52,99.4,241.0,0.54
yiran,no-feedback,1,24,96.0,244.09,100.4,238.0,0.3
yiran,no-feedback,1,25,97.5,242.49,102.4,236.0,0.45
yiran,no-feedback,1,26,99.0,240.63,103.4,233.0,0.06
yiran,no-feedback,1,27,100.5,238.42,104.4,229.0,0.53
yiran,no-feedback,1,28,102.0,235.79,105.4,225.0,0.9
yiran,no-feedback,1,29,103.5,232.64,107.4,219.0,0.72
yiran,no-feedback,1,30,105.0,228.93,110.4,211.0,0.25
yiran,no-feedback,1,31,106.5,224.58,112.4,209.0,1.75
yiran,no-feedback,1,32,108.0,219.54,112.4,194.0,1.21
