participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
yiran,spatial-color,2,0,60.0,336.46,59.4,338.0,1.65
yiran,spatial-color,2,1,61.5,331.7,59.4,323.0,4.38
yiran,spatial-color,2,2,63.0,326.48,60.4,313.0,5.94
yiran,spatial-color,2,3,64.5,320.91,63.4,306.0,4.75
yiran,spatial-color,2,4,66.0,315.1,65.4,295.0,5.51
yiran,spatial-color,2,5,67.5,309.16,66.4,289.0,6.07
yiran,spatial-color,2,6,69.0,303.19,67.4,285.0,6.15
yiran,spatial-color,2,7,70.5,297.29,69.4,280.0,5.6
yiran,spatial-color,2,8,72.0,291.54,71.4,274.0,5.44
yiran,spatial-color,2,9,73.5,286.02,73.4,268.0,5.49
yiran,spatial-color,2,10,75.0,280.79,75.4,265.0,4.67
yiran,spatial-color,2,11,76.5,275.91,77.4,260.0,4.81
yiran,spatial-color,2,12,78.0,271.41,79.4,254.0,5.8
yiran,spatial-color,2,13,79.5,267.32,82.4,250.0,5.51
yiran,spatial-color,2,14,81.0,263.66,84.4,247.0,5.88
yiran,spatial-color,2,15,82.5,260.42,86.4,245.0,5.84
yiran,spatial-color,2,16,84.0,257.59,87.4,243.0,6.62
yiran,spatial-color,2,17,85.5,255.15,90.4,241.0,6.1
yiran,spatial-color,2,18,87.0,253.04,93.4,239.0,5.38
yiran,spatial-color,2,19,88.5,251.22,96.4,237.0,4.19
yiran,spatial-color,2,20,90.0,249.64,99.4,233.0,3.55
yiran,spatial-color,2,21,91.5,248.21,103.4,227.0,2.14
yiran,spatial-color,2,22,93.0,246.86,107.4,221.0,0.16
yiran,spatial-color,2,23,94.5,245.52,110.4,216.0,1.43
yiran,spatial-color,2,24,96.0,244.09,111.4,212.0,1.45
yiran,spatial-color,2,25,97.5,242.49,111.4,208.0,0.55
yiran,spatial-color,2,26,99.0,240.63,112.4,203.0,0.5
yiran,spatial-color,2,27,100.5,238.42,113.4,197.0,0.33
yiran,spatial-color,2,28,102.0,235.79,114.4,192.0,0.39
yiran,spatial-color,2,29,103.5,232.64,115.4,191.0,1.21
yiran,spatial-color,2,30,105.0,228.93,115.4,172.0,1.85
yiran,spatial-color,2,31,106.5,224.58,116.4,155.0,3.28
yiran,spatial-color,2,32,108.0,219.54,117.4,145.0,3.63
yiran,spatial-color,2,33,109.5,213.79,117.4,140.0,4.29
yiran,spatial-color,2,34,111.0,207.29,119.4,134.0,3.07
yiran,spatial-color,2,35,112.5,200.02,121.4,125.0,2.22
yiran,spatial-color,2,36,114.0,192.01,122.4,120.0,1.85
yiran,spatial-color,2,37,115.5,183.26,123.4,113.0,1.71
yiran,spatial-color,2,38,117.0,173.8,124.4,108.0,1.33
yiran,spatial-color,2,39,118.5,163.68,126.4,101.0,0.2
yiran,spatial-color,2,40,120.0,152.97,127.4,95.0,0.07
yiran,spatial-color,2,41,121.5,141.74,128.4,85.0,0.15
yiran,spatial-color,2,42,123.0,130.09,130.4,78.0,0.98
yiran,spatial-color,2,43,124.5,118.1,132.4,72.0,2.23
yiran,spatial-color,2,44,126.0,105.89,133.4,63.0,2.09
yiran,spatial-color,2,45,127.5,93.59,134.4,57.0,2.32
yiran,spatial-color,2,46,129.0,81.32,134.4,55.0,2.06
yiran,spatial-color,2,47,130.5,69.22,135.4,50.0,2.4
yiran,spatial-color,2,48,132.0,57.42,136.4,48.0,3.13
yiran,spatial-color,2,49,133.5,46.06,136.4,47.0,3.0
yiran,spatial-color,2,50,135.0,42.0,137.4,46.0,3.64
yiran,spatial-color,2,51,136.5,42.0,137.4,45.0,3.0
yiran,spatial-color,2,52,138.0,42.0,138.4,44.0,2.0
yiran,spatial-color,2,53,139.5,42.0,146.4,44.0,2.0
yiran,spatial-color,2,54,141.0,42.0,157.4,43.0,1.0
yiran,spatial-color,2,55,142.5,42.0,160.4,42.0,0.0
yiran,spatial-color,2,56,144.0,42.0,160.4,45.0,0.96
yiran,spatial-color,2,57,145.5,42.0,160.4,50.0,1.92
yiran,spatial-color,2,58,147.0,42.0,161.4,57.0,1.72
yiran,spatial-color,2,59,148.5,42.0,162.4,65.0,1.59
yiran,spatial-color,2,60,150.0,42.0,163.4,70.0,1.12
yiran,spatial-color,2,61,151.5,42.0,164.4,79.0,1.05
yiran,spatial-color,2,62,153.0,42.0,165.4,87.0,0.86
yiran,spatial-color,2,63,154.5,42.0,166.4,93.0,0.45
yiran,spatial-color,2,64,156.0,42.0,167.4,100.0,0.12
yiran,spatial-color,2,65,157.5,42.0,167.4,103.0,0.41
yiran,spatial-color,2,66,159.0,42.0,168.4,108.0,0.11
yiran,spatial-color,2,67,160.5,42.0,168.4,115.0,0.54
yiran,spatial-color,2,68,162.0,47.02,168.4,119.0,0.92
yiran,spatial-color,2,69,163.5,60.3,168.4,135.0,2.39
yiran,spatial-color,2,70,165.0,74.47,168.4,145.0,3.3
yiran,spatial-color,2,71,166.5,89.39,169.4,152.0,2.94
yiran,spatial-color,2,72,168.0,104.91,170.4,158.0,2.49
yiran,spatial-color,2,73,169.5,120.89,172.4,164.0,1.05
yiran,spatial-color,2,74,171.0,137.17,173.4,172.0,0.78
yiran,spatial-color,2,75,172.5,153.58,174.4,180.0,0.52
yiran,spatial-color,2,76,174.0,169.97,175.4,185.0,0.01
yiran,spatial-color,2,77,175.5,186.19,176.4,189.0,0.63
yiran,spatial-color,2,78,177.0,202.09,176.4,193.0,0.26
yiran,spatial-color,2,79,178.5,217.52,176.4,197.0,0.12
yiran,spatial-color,2,80,180.0,232.35,177.4,204.0,0.21
yiran,spatial-color,2,81,181.5,246.45,177.4,214.0,0.75
yiran,spatial-color,2,82,183.0,259.72,178.4,223.0,0.65
