participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
yiran,numerical,3,0,60.0,336.46,61.0,340.2,3.87
yiran,numerical,3,1,61.5,331.7,61.0,333.2,0.03
yiran,numerical,3,2,63.0,326.48,61.0,327.2,1.72
yiran,numerical,3,3,64.5,320.91,61.0,323.2,2.79
yiran,numerical,3,4,66.0,315.1,63.0,315.2,2.88
yiran,numerical,3,5,67.5,309.16,65.0,306.2,3.15
yiran,numerical,3,6,69.0,303.19,66.0,301.2,3.4
yiran,numerical,3,7,70.5,297.29,68.0,293.2,3.45
yiran,numerical,3,8,72.0,291.54,71.0,284.2,2.9
yiran,numerical,3,9,73.5,286.02,73.0,279.2,2.38
yiran,numerical,3,10,75.0,280.79,74.0,275.2,2.6
yiran,numerical,3,11,76.5,275.91,75.0,271.2,2.91
yiran,numerical,3,12,78.0,271.41,77.0,268.2,2.04
yiran,numerical,3,13,79.5,267.32,78.0,264.2,2.57
yiran,numerical,3,14,81.0,263.66,81.0,258.2,2.37
yiran,numerical,3,15,82.5,260.42,84.0,255.2,1.25
yiran,numerical,3,16,84.0,257.59,86.0,252.2,1.3
yiran,numerical,3,17,85.5,255.15,88.0,249.2,1.75
yiran,numerical,3,18,87.0,253.04,91.0,247.2,1.08
yiran,numerical,3,19,88.5,251.22,93.0,245.2,1.24
yiran,numerical,3,20,90.0,249.64,95.0,243.2,1.34
yiran,numerical,3,21,91.5,248.21,97.0,240.2,1.83
yiran,numerical,3,22,93.0,246.86,98.0,238.2,2.19
yiran,numerical,3,23,94.5,245.52,100.0,235.2,2.03
yiran,numerical,3,24,96.0,244.09,102.0,230.2,2.31
yiran,numerical,3,25,97.5,242.49,103.0,227.2,2.45
yiran,numerical,3,26,99.0,240.63,104.0,224.2,2.49
yiran,numerical,3,27,100.5,238.42,105.0,219.2,2.97
yiran,numerical,3,28,102.0,235.79,106.0,216.2,2.78
yiran,numerical,3,29,103.5,232.64,107.0,212.2,2.79
yiran,numerical,3,30,105.0,228.93,108.0,208.2,2.72
yiran,numerical,3,31,106.5,224.58,109.0,205.2,2.38
yiran,numerical,3,32,108.0,219.54,110.0,201.2,2.21
yiran,numerical,3,33,109.5,213.79,111.0,198.2,1.81
yiran,numerical,3,34,111.0,207.29,111.0,194.2,2.55
yiran,numerical,3,35,112.5,200.02,111.0,191.2,3.09
yiran,numerical,3,36,114.0,192.01,112.0,188.2,2.61
yiran,numerical,3,37,115.5,183.26,113.0,185.2,2.14
yiran,numerical,3,38,117.0,173.8,114.0,183.2,1.49
yiran,numerical,3,39,118.5,163.68,114.0,181.2,1.8
yiran,numerical,3,40,120.0,152.97,115.0,179.2,1.13
yiran,numerical,3,41,121.5,141.74,116.0,169.2,1.66
yiran,numerical,3,42,123.0,130.09,117.0,159.2,2.11
yiran,numerical,3,43,124.5,118.1,117.0,156.2,2.52
yiran,numerical,3,44,126.0,105.89,118.0,150.2,2.35
yiran,numerical,3,45,127.5,93.59,119.0,146.2,1.89
